,date,newspaper,page_number,page_url,full_segment,type
0,1933-04-25,WM,3,https://jawi.sgp1.digitaloceanspaces.com/page_scans/WM-1933-04-25-0003.jpg,"قزوين مکلايا
هاري ثلاث ٢٩ ذوالخjecه ١٣٠٩
فڽات سر سمبول ويلسن
بهوا برکنأن دڠن ڤڽات سرسميول
威尔سن يڠاد دانسورکن ترجمهڽ ددالم
اخبار اين مک ڤرتماڽ کيت هندقله
مڠوچڤکن سلامت کڤد راج٢ ملايو
يڠبرکنأن دان کڤد سرسيسيل
کيلمينتي ڤسورهجاي بسر باݢي
نݢري ٢ ملايواوله کران ڤڤاة سرسميول
ايت ادله مپوکڠ دان ميرتاکن جداڠن
يڠدظهرکن اوله توان يڠتراوتام دسري
مننتي ڤد بولن اوݢسة تاهن 1931
ادڤون شور٢ سرميول ايت ايله
يأيت اي اد برفیکران يأيت سوات
مصلحة يڠتڤ باݢي ممبرقکن
اکواس٢ ايت ڤاتوتله دجالنکن سکارڠ
جوݢ تتافي ڤراوبهن٢ يڠدکندوڠي
اوله منجالنکن مصلحة ايت هندقله
دجالنکن دڠن ڤرلاهن٢ ڤنديق کات
مصالحة يڠدجادڠکن اوله سرسيسيل
کليمتي اية اکن دجالنکن دري
ماس اين دان اکن مڠمبيل ماس لبه
کورڠ امڤت تاهن لماڽ اڤبيل لڤس
ايت اکن دلنجوتکن لاݢي سهڠݢ
فد اخرڽ اکن ترهافوس اڤ جوا
باقي٢ باݢي ڤرنتاهن يڠتره sveون
دکوالا لفور ايت دڠن شرطڽ اکن
دادکن سوات جواتن بهارو يڠ اکن
منجاݢ دان منجالنکن ڤرکارا٢ يڠ
برفانده کڤد تانه ملايو عامڽ دڠن
دهمڤونکن کدالم جواتن بهارو ايت
اکن افجوايڠتر تيڠݢل باݢي اڠݢوت
يڠبرسکتو يڠاد سکارڠ
شهدان ددالم کارڠن اين تيدقله
داڤت کيت هندق منورنکن ڤndaڤتن
دان فيکران کت دڠن لنجوتن اتس",theatre/opera
1,1933-05-03,WM,3,https://jawi.sgp1.digitaloceanspaces.com/page_scans/WM-1933-05-03-0003.jpg,"ڤرخبران دري تايڤيڠ
تايڤيڠ مي 1
تايڠ ڤوتبول ليݢ
ڤرلاونن فوتبول دانتارا لاروت
سڤورتيڠ لد دڠن چأينبس سڤورتيڠ
تله دماينکن دڤادڠ فيرق کاب ڤد
فتڠ اثنين 24 اڤريل کسداهنڽ چاينيس
سڤورتيڠ براوله کمناڠن 5 2
ڤد ڤتڠ اربع 26 افريل ڤاتوقکن
ملي يونيأن تله برماين دڠن ڤاسوقکن
ادم کلب سلاما دڤادڠ ڤيرق کلب
دان کسداهنڽ ملي يونيان براوله
کمناڠن ݢول دڠن تيدق بربالس
ڤرماينن دسبلة ڤيهق ادم کاب نمڤقڽ
چوکڤ باݢوس تتاڤي سهاج نصيب
هندق مندَاڤت ککالهن
يڠترامت مليا تڠکو مهکوت
دلي دان بونداڽ تڠکو سوري راج
حليجه بنت سلطان عبد الله دان
استريڽ تڠکو ڤوان اندرا راج امنه
بت راج سر چولن راج دهيلير
دانلاينڽ تله براڠکت کڤولو ڤينڠ
دان درسيتو لڠسوڠ يلاير کميدان
کڤد 28 اڤريل
يڠامت مليا راج بنداهارا دان
استريڽ راج جيک توان کچيک تله
براڠکت کتاڽڠ ڤد مالم احد 29
اڤريل
يڠد ملياکن راج کچک بوڠسو
استريڽ دان ادndaڽ يڠمليا راج
شهرالدين تله براڠکت کتا يڠ کران
مليهت وايڠ ݢمبريڠ مننجوقکن ݢبر
چرينا يڠبرنام بيرود
ڤرکهوينن أ بدارالدين دڠن
سوداراڤرمڤوان کڤد اورڠکاي منتري
اکن دلڠسوڠکن کڤد 7 مي يڠاکن
داتڠ بابق سورت٢ جمڤوتن تله
دهتر برکنأن دڠن خندوري يڠ",film
2,1933-05-04,WM,2,https://jawi.sgp1.digitaloceanspaces.com/page_scans/WM-1933-05-04-0002.jpg,"ايله تربيلڠ درڤد مريک يڠ ڤاتوت دبري
ي
نڠکت مريک يڠتراوتام دالم ڤواق
２
مهاجرن دان انصار يڠ ادله مريک تياد
<
اندهکن سسوات فون دالم جالن اف
دڠن منڠݢوڠ عذاب سڠسارا درڤد
２
سترو٢ اسلام اکنتتاڤي مريک داتس
اݢام اسلام ايت تتڤ دڠن تݢڤڽ
کران اسلام ايت اݢام عالم
ساڽ کرامين يڠددالڽ توان
محمد حامد ممبوبه تندا تاڠنڽ ددالم
دڤتر ماسوق اسلامڽ دهداڤن قاضي
دان ججاعه اورڠ بسر٢ دان کنأن
ايت تله دامبيل ݢمبر اوله توکڠ ݢبر
وايڠ ݢمبر سڤاي دتنجوقکن داتس
تيري کران اورڠ رامي
مک کيت ممبري سلامت جاي
کڤد سودارا اين دان ممبري سلامت
جاي اورڠ٢ اسلام مندافة سودارا اين
اللهم ثبتنا على دينک واجلنامن
انصاره حتى نالقک آمنن  الفتح",film
3,1933-07-05,WM,3,https://jawi.sgp1.digitaloceanspaces.com/page_scans/WM-1933-07-05-0003.jpg,"دقتور خالد شادريک
d

مسبوڠن درڤد موک 7
کبڠسأن دان تيدق اد سوات يڠ

مڠهمڤون دان منچرايکن دانتارا مأنسي
d
ايت سڤرت بهاس٢ کان سڠکا
泣
توان کڤد سئورڠ عرب سلم ممڤر دالتي
.
سئورڠ بهودي تاهوکن بهاسڽ

دسبواه کڤل اتوکريتا اڤي اتو نݢري

ادکه تواز فيکراي اکن منيڠݢلکن

برچاکڤ٢ دڠندي دان ڤرجکافن
了
ايتوله ڤنتو ڤرهمڤونن دان برکنالن٢
9
ايله ادکه اي هندق منيڠݢلکن درڤد

برکات٢ دڠن اورڠ يهودي ايت کران
朵
هندق ڤرݢي مندالتکن سئورڠ انديا
مسامڠ تيڤ٢ سئرڠ تيدق تاهوکن
بهاس سئورڠ لاݢي ايت دان سباليکڽ
تيدق سکالي٢ اين تياد اکن جادي
اتو اڤ فيکران توان سئورڠ ملايو
برجمڤا سئورڠ انديا هندو يڠ تاهو
بهاس ملايو اڤ ادکه توان فيکراي
2
اکن منيڠݢلکن درفد برچاکڤدڠن
ديسڤاي مندالتکن سئورڠ جاوايڠ

تيدق تاهو بهاس ملابو تيدق سکالي٢
)
اين تياد اکن جادي دان اين ڤرکارا
يڠاد جادي بتول يڠ تيدق بوله
دسڤکلکن لاݢي
درڤد ايت کيت مڠتهري يأيت
الله درڤد منورنکن قرأن دڠن بهاس
عرب دان ممرتهکن اورڠ٢ ـلام
سبهيڠ دڠن ممباچ قرأن ليم کالي
بهاري سمالم ايت تيدق توجوانڽ
ملينکن سڤاي مريک ايت بربهاس
دڠن ساتو بهابس يڠساتو جاديله
مريک دڠن بهاس ايت ساتو اومة يڠ
ساتو درايت مسلم عرب جادي همڤير
دڠن سوداراڽ مسام چينا امڤمان ترلبه
دراد جيرانڽ اورڠ صومالي يڠبوکن
مسلم دان دمکين اين تله جادي
ڤد ماس٢ اسلام سدڠ ماجو دهولو",metaphor
4,1933-07-08,WM,2,https://jawi.sgp1.digitaloceanspaces.com/page_scans/WM-1933-07-08-0002.jpg,"سبوڠن درڤد موک 14
مناهن سراڠن کومن٢ دأتس

کلال کربڠ
ساڽ ساڠتله مستحق دتاهن اکن
کجادين سراڠن کومن٢ اتو هولت٢
بايک دأتس ايسي٢ کلاف اتو دأتس
جوريڠ٢ کلاڤ يڠ فرتڠاهن کريڠ
مپب دڠن جالن اينله سهاج بوله
مناهن اسڤ درڤد ملکت مناهن
ورن کلاف کريڠ درڤد جادي براوبه
مناهن سراڠن درفد چنداون دان
مناهن سراڠن درڤد بڠسا٢ کومنيڠ
ماکن کلاف٢ کربڠ ايت اختيارڽ
باݢي منجاوي سراڠن اين ايله
جوريڠ٢ کلاڤ اينت دڤانسکن يأيت
دجور اتو ڤون دسالي سبلوم سبارڠ
مراڠن کومن٢ ايت مريق
دڠن دمکين ايت مستحق ساڠتله
جرال يڠبوله دڠديقکن ماس دانتارا
ممبله دڠن ممانسکن ايسي٢ کلاڤ
ايت تاڽ تيادله ڤول مدأي سهاج
دڠن منايککنڽ کأتس سالي يڠن
تالي ايت مستيله سده ڤانس وقت
کلاف٢ ايت دنايککن بالي ايتڤون
هندقله دفربوات ددالم سوات کادأن
يڠ اڠين يڠ ممباوا هوايڠ سجوق
تياد سمڤي کدالمڽ دان جوݢ بڤاي
الاين کلاڤ ايت ڤد سبله اتسڽ
نداڤت بامڠ افيڠ جوکڤ ڤانس

هواڠ سجوق يڠتياد بايک ددالم
سالي ايت بارڠکالي بوله دسييکن اوله
ککوراڤن جالن اڠين ددالم تيمبونن
کلاڤ٢ اتو فون هوا ڤانس ايت اد
مڠدوڠي لبڤ يڠبرلبيهن دان
منجاديکن کلاڤ٢ ايت سجوق
دڠن دمکين ايت سکيراڽ تياد",theatre/opera
5,1933-07-15,WM,5,https://jawi.sgp1.digitaloceanspaces.com/page_scans/WM-1933-07-15-0005.jpg,"مسڠݢوهڤون ڤد ماس سکارڠ
ين دنياکسمئاڤين مليسيت تاڤي ڤون
دالم الور ستار کمکوران ڤد تيڤ٢
مالم هاڽ مالم جمعت تربوک ڤتو
ان لڠهبورانن دالور ستار قدح
ائرݢ دنيا اد 4 ڤرماينن ددالڽ
1 وايڠ نوريان اوڤيرا 2 جيکيه سيم
3 وايڠ ݢلڤ 4 وايڠ چينا ڤنوه
تون ماسوق مليهت لاکي٢ دان
فرمڤوان درڤد برباݢي٢ بڠسا ملايو
قلڠ بڠݢالي سيم دان چنا يڠتراوتام
ورڠ ملايو يڠباڽق سکالي بايران
سلسوق 10 دويت دان بايران مليهت
اڠ نوريان اوڤرا ١ ٦٠ دوبة 40 دويت
ان 20 دويت فرخبران سکارڠ تله
تورنکن بياران ملبهت وايڠ ايت
ان برتبه٢ بايق لاݢي فنتون٢
فرق مليت هڠݢ تياد تمڤت ڤد
يڠ هاري ڤنوليس ليهت باڽق اورڠ
ردويون٢ براولڠ ڤرݢي ماري دجالن د
فݢار منوجوکرومه توکيه ککينجت
يڠبرکڤيت دان يڠبرڠکوس د
بباکن بندا٢ کأدأن سيمڤان ڤر
ڤرومه توکيه ککينجة منريماواڠ بلنجا ه
فابوان جموان مات دان هلوا تليڠاڤد
الم ايت فنوليس فون سام جوݢ
سڠکوهڠون کچک بيارانڽ10 دوية
باران ماسوق دان 20 دويت بباران مليهة
فاني ڤون بلنجا برچݢران سيوا به
نجا ڤرݢي باليک سرت بوڠا در
سندران ايت تله منجادي بسر يو
تقميرکن سکورڠ٢ڽ 50 دوت
ئورڠ ددالم سبواه رومه سکورڠ٢ ايس
ون 3 اورڠ جمله جادي 1.50 مک
ارڠ٢ يڠدسيمڤن ڤد توکيه کينجت ڤر
ت سهابس٢ تڠݢي کهندقڽ تتالي
ن توکيه کينجت منريما سهابس٢ باڽ
دل  درڤد هرݢاڽ اتو  16 درڤد بول  رݢ بارڤت امکانتا کا انتا ت",puppetry
6,1933-08-01,WM,3,https://jawi.sgp1.digitaloceanspaces.com/page_scans/WM-1933-08-01-0003.jpg,"الحمبرا دان مليارا
اين مالم
روبرت مونتکومري
ميج ايبنس
جبيمي دورنت
والتر هستن
روبرت ياڠ
دان لاين٢ اهل٢ وايڠ يڠترکل
ددالم ساتو کمبر يڠ بسر کلوارن
مترو ݢولدوين ماير يڠدنماکن
نراک دياوه
BELOW”
HELL
ساتو چريتا ددالم کڠل اڤي سلم
يڠ مناريق هاتي بسرت دڠن ساتر
برکاسيه٢هن يڠ قوات ....
...
کڤد مڠاساکن توهن دان کهيدوڤن
√2
بڠ سمڤرن جک سمڤي کڤد کامو
سروانڽ ايت هندقله کامو سکلين
تريکا سکيراڽ جک ڤنجڠ ءمکو

سمڤي کڤد هاري کلوار سروان ايت
ساڽ اکوله يڠ مولا٢ سکالي اورڠي

ک ممبنرکن ڤرکتأنڽ دان يڠکدوامريک
يڠبراݢام نبي الله ابراهيم عليه السلام
ايله زيد بن عمرو بن نبيل انق سودارا
الخطب تله دروايتکن درڤد سيدتا
了
عانše رضى الله عنها بهواسڽ اي

برکات اکو مندڠر رسول الله برسبا

سمت زيد بن عمرو بن نفيل ببيب

کل ماذبح اڠيراڽ فکان يقول لقرڽ
?
الشاقخلها تلهوأنزل لهاالماءن السماء
c
وأنبت لهامن الارض الکلاه ثم
تذبحرنها عى غير اسم الله مندڠراکر
了
اکنزيد بن عمروبن ن菲尔 مڠعئب اي
سݢا بانيڠ فد سمبله بارݢ لاتين نام
",theatre/opera
7,1933-08-02,WM,9,https://jawi.sgp1.digitaloceanspaces.com/page_scans/WM-1933-08-02-0009.jpg,"فرخبران موار
موار جولي 31
مڠيکوت ڤرخبران يڠدتريما ڤد
اݢ اوݢسة هداڤن سوات ڤرادوان
فутبول اکن دادکن دڤادڠ بسر موار
دانتارا ڤاسوقکن سکوله اڠݢربس
کراجأن موار دڠن فلسوڤکن عيم
في ايج سڠاڤورا دان فد مالمڽ قول
اکن دادکن مڽاڽي دان لاکوان وايڠ
کونتسبرة دباڠونن سکوله اڠݢريس
موار
لد 10 اوݢست اکن دادکن سوات
لرلاونن ڤوتبول باݢي فرتنجوقڠن
فادڠ بسر ايت جوݢ دانتارا ڤلوقکن فجابت تانه A يڠتله براوليه
الکناڠن باݢي بهاݢين بندر دالم
لک 1931 دڠن ڤاسوقکن ڤاريت امل
يڠله براوليه کمناڠن باݢي بهاݢين
کئوڠ دان سئم ڤرملان ايت تواة",theatre/opera
8,1933-08-02,WM,3,https://jawi.sgp1.digitaloceanspaces.com/page_scans/WM-1933-08-02-0003.jpg,"بخاريته جولي 24
ترباکر يڠبرر دمادياش ايت
ماسيه اد مڽالا لاݢي ائيڽ دان تله
تروس مم汶ساکن تمڤت ايت سلما 18
هاري کراجأن تله مڠهتر ٤ اورڠي
فني٢ سڤاي منتوکن سبب دان
ممبري نصيحة بݢيمان اڤي ايت توله
دفادمکن ڤکرجأن اين دسڠکاکن
اکن دمولاکن ڤد هاري ثلاث اوله
مڠݢالي لوبڠ دباوه تانه دتمڤت يڠ
ترباکر بسر سکالي
يڠامت مليا تڠکو عبدالريحن
فݢاوي دائره ڤادڠ ترائ فدح تله
دبنرکن سبولن چوتي دان انجي
مخلد صرفي بن محمد حسن تله
داڠکت سڤاي ممڠکو جواتن تڠکو
عبدالرحمن ايت تمباهن کئد
جبد برحمه ايب امباس تيد فکر جأنتر بهنرتن بنهن برݢيدي برا
الحمبرا دان ملبارا
اين مالم
روبرت مونتݢومري
ميج ايبنس

جيمي دورنت
والتر هستن
روبرت ياڠ
دان لاين٢ اهل٢ وايڠ يڠترکنل
ددالم ساتو ݢمبر يڠ بسر کلوارڽ ميترو ݢولدوين ماير يڠدنماکن
沃فراک دباوه
HELL BELOW
ساتو چريتا ددالم کڤل اڤي سلم
يڠ مناربق هاتي بسرت دڠن ساتو",film
9,1933-08-02,WM,6,https://jawi.sgp1.digitaloceanspaces.com/page_scans/WM-1933-08-02-0006.jpg,"ν
نيو ورلد
二
2
اولاڠن هاري اکجاديڽ
با
يڠکسڤوله
نيو ورلد تامن کسوکأن
j
دسيڠاڤورا اکن مڽمپبوت اولاڠن هاري
二
کجادينڽ يڠکسڤوله مولاءي دري

4 هڠݢ 8 اوݢت اين
j
دديريکن دالم تاهون 1923 لبه
کورڠ ستاهون لڤس فرتجوڤن ملايا
>
بورنيو مک نيوورلد ايت ايله يڠڤرتام
31
يڠ ماسوق کميدان دسيڠافورا دڠن
：
روف کسوکأن سماچم اين دان باڽق
3
اورڠ٢ ماسيه اد تراڠت لاݢي اکن
مالم اول دبوک لبه کورڠ 10 تاهون
دهولو
نيورلد ڤد هاري اين بوکنڽ
بݢيمان 10 تاهون دهولو  فراوباهن٢
تله دفلربوات دري ساتو کساتو ماس
دان نيوورلد ايت تله ماجو دري
ستاهون کستاهون سهڠݢ سمڤي
بݢيمان کادأنڽ هاري اين اوله کران
ڤراوسهأن توان٢ ڤرڽ دان ڤد هاري اين
ايله تامن کسوکأن يڠلام سکالي دان
يڠترباڠ بوکن سهاج دسيڠالورا
بهکن دسلوره تانه ملايو
سڠݢهڤرن موسيم کڤيچيقکن
دان سڤاي مڠالهکن سݢل
ڤربواتن بڠ سده٢ مک دڠن
تيدق دهيتوڠکن بلنجابهوا فرماينن٢
يڠخاص دليليه تله دتتوکن کران
هاري سبوتن تاهون يڠکسڤوله
يڠاکن ديمبوت دري 4 هڠݢ 8
اولݢنت بݢيمان يڠترسبوت داتس
لاين درڤد وايڠ٢ چينا يڠساون ملايو
وايڠ٢ ݢمبرچناوايڠ٢ ݢمبربرچاکڤ
بوڽن٢ دانلاين ڤرماينن يڠبياس مک
اکن دادکن تمباهن بݢيمان يڠدباوهـ
بوڠاالي خاص دأسن دري",film
